ticker,price,sma50,sma150,sma200,high_52w,low_52w,return_3m,return_6m,return_9m,return_12m,k_ratio,rs_rating,stage2,gates_passed,g1_price_above_150_200,g2_sma150_above_sma200,g3_sma200_trending_up,g4_sma50_above_150_200,g5_price_above_sma50,g6_30pct_above_52w_low,g7_within_25pct_of_52w_high,g8_rs_rating_ge_70,name,sector,country,currency,index,dist_from_high,rank_rs,rank_prox,rank_1yr,rank_k,composite,rank_overall
UFCS,55.97999954223633,52.825187072753906,45.08723785400391,42.779795246124266,55.97999954223633,29.75991439819336,0.23767411250936488,0.4881409186753265,0.5621694055263469,0.7769123775958826,48.3112513241028,89.0,True,8,True,True,True,True,True,True,True,True,"United Fire Group, Inc.",Finance,US,USD,US $1bn+,0.0,0.6305803571428571,0.9375,0.6584821428571429,0.8883928571428571,0.7787388392857143,31
LFST,12.729999542236328,11.470899963378907,8.67386663754781,8.233549983501435,12.890000343322754,4.809999942779541,0.7179486915485149,0.8369408163878957,0.9890623988350868,1.327239493694809,32.703724910802976,96.2,True,8,True,True,True,True,True,True,True,True,"LifeStance Health Group, Inc.",Health Care,US,USD,US $1bn+,0.012412784858404522,0.9029017857142857,0.7299107142857143,0.8415178571428571,0.625,0.7748325892857143,32
SBLK,32.41999816894531,28.048074111938476,25.67239433288574,24.06590841293335,32.41999816894531,16.13601303100586,0.2089405211837867,0.4181302814089982,0.6528158442398488,0.765252411831191,48.43981986705044,88.5,True,8,True,True,True,True,True,True,True,True,Star Bulk Carriers Corp.,Consumer Discretionary,US,USD,US $1bn+,0.0,0.6149553571428571,0.9375,0.6495535714285714,0.8928571428571429,0.7737165178571429,33
STT,194.25999450683594,184.41308990478515,156.02133209228515,148.3383899307251,194.25999450683594,108.25247192382812,0.20696702467001638,0.6156472187180215,0.6281191306337843,0.7383417402188073,47.50624419319432,89.6,True,8,True,True,True,True,True,True,True,True,State Street Corporation,Finance,US,USD,US $1bn+,0.0,0.65625,0.9375,0.6160714285714286,0.8816964285714286,0.7728794642857144,34
UGP,7.28000020980835,6.190268449783325,5.637756147384644,5.243517116308213,7.28000020980835,3.630000114440918,0.5072464440584115,0.4589179446349032,0.7210402309650383,1.0055096364451752,30.76922493390959,93.4,True,8,True,True,True,True,True,True,True,True,Ultrapar Participações S.A.,Utilities,US,USD,US $1bn+,0.0,0.7957589285714286,0.9375,0.7633928571428571,0.5803571428571429,0.7692522321428571,35
LPG,55.20000076293945,44.70140007019043,39.17905600229899,35.58150551795959,55.20000076293945,22.8393497467041,0.3275612874483438,0.6603431721496829,1.3143649020872923,0.9283665743107521,30.763447120385553,94.3,True,8,True,True,True,True,True,True,True,True,Dorian LPG Ltd.,Consumer Discretionary,US,USD,US $1bn+,0.0,0.8292410714285714,0.9375,0.7321428571428571,0.578125,0.7692522321428571,36
FTI,79.83999633789062,73.34059967041016,69.8763516998291,64.35823244094848,80.08000183105469,35.47633743286133,0.19485179141769615,0.26875780941404637,0.7132445325886914,1.0189353541745443,40.051586755397054,89.6,True,8,True,True,True,True,True,True,True,True,TechnipFMC plc,Consumer Discretionary,US,USD,US $1bn+,0.002997071524428829,0.65625,0.8459821428571429,0.7678571428571429,0.7924107142857143,0.765625,37
DAC,155.25999450683594,138.35100006103517,124.85802225748698,117.58672359466553,155.25999450683594,82.78882598876953,0.20198185885058795,0.4222641775540823,0.5999307831652141,0.6779345040974105,59.84135987921739,87.2,True,8,True,True,True,True,True,True,True,True,Danaos Corporation,Consumer Discretionary,US,USD,US $1bn+,0.0,0.5658482142857143,0.9375,0.5848214285714286,0.9732142857142857,0.7653459821428572,38
DNTH,108.0999984741211,105.23999969482422,86.7813331604004,75.9872498512268,115.95999908447266,26.5,0.3426902944457233,0.6579755143230188,1.458494325063211,3.38361715908386,51.0190483137648,97.6,True,8,True,True,True,True,True,True,True,True,"Dianthus Therapeutics, Inc.",Health Care,US,USD,US $1bn+,0.0677819995895812,0.9497767857142857,0.20982142857142858,0.9732142857142857,0.90625,0.759765625,39
SLS,13.859999656677246,12.795400009155273,8.100533343950907,6.802400010228157,15.460000038146973,1.3899999856948853,0.6840826764992851,1.5063289567501816,8.0,6.786516786208583,53.25942001367212,98.9,True,8,True,True,True,True,True,True,True,True,"SELLAS Life Sciences Group, Inc.",Health Care,US,USD,US $1bn+,0.10349290928342726,0.9955357142857143,0.109375,0.9910714285714286,0.9241071428571429,0.7550223214285715,40
